Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202110,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,9,Andover town,2,2,530000,0,0,0,0,0,0,0,0,0,2,2,530000,0,0,0,0,0,0,0,0,0
202110,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,1,Avon town,15,15,4339261,0,0,0,0,0,0,0,0,0,6,6,1665775,0,0,0,0,0,0,0,0,0
202110,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,8,Berlin town,28,28,5632126,0,0,0,0,0,0,1,6,1034100,25,25,4853263,0,0,0,0,0,0,1,6,1034100
202110,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,9,Bethel town,56,56,16231797,0,0,0,0,0,0,0,0,0,50,50,14597591,0,0,0,0,0,0,0,0,0
202110,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,10,Bloomfield town,2,2,350000,0,0,0,0,0,0,1,42,6004000,2,2,350000,0,0,0,0,0,0,1,42,6004000
202110,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,10,Bolton town,4,4,1060000,0,0,0,0,0,0,0,0,0,4,4,1060000,0,0,0,0,0,0,0,0,0
202110,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,10,Branford town,38,38,13338168,0,0,0,0,0,0,0,0,0,38,38,13338168,0,0,0,0,0,0,0,0,0
202110,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,0,Bridgeport,24,24,3344652,6,12,938353,0,0,0,1,5,104167,0,0,0,0,0,0,0,0,0,0,0,0
202110,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,7,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,10,Bristol,70,70,14234094,0,0,0,0,0,0,0,0,0,70,70,14234094,0,0,0,0,0,0,0,0,0
202110,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,10,Brookfield town,21,21,7714700,4,8,1396784,0,0,0,0,0,0,21,21,7714700,4,8,1396784,0,0,0,0,0,0
202110,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,10,Brooklyn town,12,12,2388960,0,0,0,0,0,0,0,0,0,12,12,2388960,0,0,0,0,0,0,0,0,0
