Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202410,01,001000,067,0020,00124 ,00000 ,2553 ,222,20020, , ,36310      ,3,6,0,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,002000,073,0030,00460 ,00000 ,4211 ,142,13820, , ,35005      ,3,6,0,Adamsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,005000,117,0025,00820 ,00000 ,33701 ,142,13820, , ,35007      ,3,6,8,Alabaster,100,100,23227747,0,0,0,0,0,0,0,0,0,81,81,19090140,0,0,0,0,0,0,0,0,0
202410,01,006000,095,0030,00988 ,00000 ,21777 ,290,10700, ,2,35950      ,3,6,1,Albertville,51,51,8509046,1,2,200000,0,0,0,0,0,0,13,13,2270000,1,2,200000,0,0,0,0,0,0
202410,01,007000,123,0035,01132 ,00000 ,14142 ,194,10760, ,2,350100552  ,3,6,10,Alexander City,67,67,54654766,0,0,0,0,0,0,0,0,0,67,67,54654766,0,0,0,0,0,0,0,0,0
202410,01,008000,107,0040,01228 ,00000 ,2231 ,999,46220, , ,35442      ,3,6,0,Aliceville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,012000,039,0055,01708 ,00000 ,8677 ,999,99999, , ,36420      ,3,6,4,Andalusia,8,8,2236055,0,0,0,0,0,0,0,0,0,3,3,540000,0,0,0,0,0,0,0,0,0
202410,01,014000,015,0060,01852 ,00000 ,21090 ,999,11500, ,1,36202      ,3,6,0,Anniston,9,9,2527588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,016000,095,0065,02116 ,00000 ,8384 ,290,10700,2, ,35016      ,3,6,7,Arab,36,36,5759352,0,0,0,0,0,0,0,0,0,32,32,4786160,0,0,0,0,0,0,0,0,0
202410,01,017000,083,0070,02260 ,00000 ,1513 ,290,26620, , ,35739      ,3,6,0,Ardmore town,2,2,406260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,022000,069,0080,02836 ,00000 ,2202 ,222,20020,2, ,363120428  ,3,6,0,Ashford,28,28,6228755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,023000,027,0085,02860 ,00000 ,1872 ,999,99999, , ,36251      ,3,6,0,Ashland,1,1,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,01,024000,115,0090,02908 ,00000 ,2396 ,142,13820, , ,35953      ,3,6,10,Ashville,4,4,900176,0,0,0,0,0,0,0,0,0,4,4,900176,0,0,0,0,0,0,0,0,0
