Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202208,01,001000,067,0020,00124 ,00000 ,2553 ,222,20020, , ,36310      ,3,6,0,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,002000,073,0030,00460 ,00000 ,4211 ,142,13820, , ,35005      ,3,6,0,Adamsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,005000,117,0025,00820 ,00000 ,33701 ,142,13820, , ,35007      ,3,6,7,Alabaster,52,52,20824148,0,0,0,0,0,0,0,0,0,46,46,18746967,0,0,0,0,0,0,0,0,0
202208,01,006000,095,0030,00988 ,00000 ,21777 ,999,99999, , ,35950      ,3,6,0,Albertville,30,30,4733925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,007000,123,0035,01132 ,00000 ,14142 ,999,99999, , ,350110552  ,3,6,7,Alexander City,19,19,6475411,0,0,0,0,0,0,1,7,962258,15,15,5048565,0,0,0,0,0,0,0,0,0
202208,01,008000,107,0040,01228 ,00000 ,2231 ,999,46220, , ,35442      ,3,6,0,Aliceville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,012000,039,0055,01708 ,00000 ,8677 ,999,99999, , ,36420      ,3,6,0,Andalusia,3,3,635667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,014000,015,0060,01852 ,00000 ,21090 ,999,11500, ,1,36202      ,3,6,0,Anniston,1,1,96660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,016000,095,0065,02116 ,00000 ,8384 ,999,99999,2, ,35016      ,3,6,8,Arab,60,60,7798225,0,0,0,0,0,0,0,0,0,60,60,7798225,0,0,0,0,0,0,0,0,0
202208,01,017000,083,0070,02260 ,00000 ,1513 ,290,26620, , ,35739      ,3,6,0,Ardmore town,6,6,858072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,022000,069,0080,02836 ,00000 ,2202 ,222,20020, , ,363120428  ,3,6,5,Ashford town,32,32,7410711,0,0,0,0,0,0,0,0,0,29,29,7051461,0,0,0,0,0,0,0,0,0
202208,01,023000,027,0085,02860 ,00000 ,1872 ,999,99999, , ,36251      ,3,6,0,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202208,01,024000,115,0090,02908 ,00000 ,2396 ,142,13820, , ,35953      ,3,6,8,Ashville,5,5,1264124,0,0,0,0,0,0,0,0,0,5,5,1264124,0,0,0,0,0,0,0,0,0
