Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202202,01,001000,067,0020,00124 ,00000 ,2688 ,222,20020, , ,36310      ,3,6,0,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,002000,073,0030,00460 ,00000 ,4522 ,142,13820, , ,35005      ,3,6,0,Adamsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,005000,117,0025,00820 ,00000 ,30352 ,142,13820, , ,35007      ,3,6,0,Alabaster,28,28,9024230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,006000,095,0030,00988 ,00000 ,21160 ,999,99999, , ,35950      ,3,6,0,Albertville,9,9,1564536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,007000,123,0035,01132 ,00000 ,14875 ,999,99999, , ,350110552  ,3,6,2,Alexander City,3,3,1075027,0,0,0,0,0,0,0,0,0,3,3,1075027,0,0,0,0,0,0,0,0,0
202202,01,008000,107,0040,01228 ,00000 ,2486 ,999,46220, , ,35442      ,3,6,0,Aliceville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,012000,039,0055,01708 ,00000 ,9015 ,999,99999, , ,36420      ,3,6,0,Andalusia,1,1,179500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,014000,015,0060,01852 ,00000 ,23106 ,999,11500, ,1,36202      ,3,6,0,Anniston,1,1,96660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,016000,095,0065,02116 ,00000 ,8023 ,999,99999,2, ,35016      ,3,6,2,Arab,4,4,472050,0,0,0,0,0,0,0,0,0,4,4,472050,0,0,0,0,0,0,0,0,0
202202,01,017000,083,0070,02260 ,00000 ,1194 ,290,26620, , ,35739      ,3,6,0,Ardmore town,1,1,93452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,022000,069,0080,02836 ,00000 ,2148 ,222,20020, , ,363120428  ,3,6,0,Ashford town,1,1,119750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,023000,027,0085,02860 ,00000 ,2037 ,999,99999, , ,36251      ,3,6,0,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202202,01,024000,115,0090,02908 ,00000 ,2212 ,142,13820, , ,35953      ,3,6,2,Ashville,1,1,239244,0,0,0,0,0,0,0,0,0,1,1,239244,0,0,0,0,0,0,0,0,0
