Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2010,02,009000,013,0070,01090 ,01598 ,713 ,999,99999, , ,99503      ,4,9,12,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,041000,020,0140,03000 ,03050 ,260283 ,999,11260, ,1,995196650  ,4,9,11,Municipality of Anchorage,381,381,103209945,3,6,1180593,5,19,3361584,7,74,8822113,357,357,95749171,0,0,0,4,15,2779624,6,53,6655590
2010,02,049000,232,0160,03440 ,33390 ,572 ,999,99999, , ,998200189  ,4,9,12,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,069000,000,    ,  ,  , ,999,99999,2, ,995196650  ,4,9,0,Balance of State-Part 1 Anchorage,52,52,13020337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,073000,000,    ,  ,  , ,999,99999,2, ,99701      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,077000,000,    ,  ,  , ,999,99999,2, ,99801      ,4,9,2,Balance of State-Part 3 Juneau,12,12,2489528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,085000,050,0310,06520 ,45510 ,5471 ,999,99999, , ,99559      ,4,9,11,Bethel,8,8,1825000,1,2,320000,0,0,0,0,0,0,8,8,1825000,1,2,320000,0,0,0,0,0,0
2010,02,097000,060,    ,  ,  ,1258 ,999,99999, , ,996330189  ,4,9,11,Bristol Bay Borough,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
2010,02,133000,261,0820,17410 ,14420 ,2454 ,999,99999,2, ,99574      ,4,9,12,Cordova,6,6,836125,0,0,0,0,0,0,0,0,0,6,6,836125,0,0,0,0,0,0,0,0,0
2010,02,137000,201,0830,17740 ,64310 ,1397 ,999,99999, , ,99921      ,4,9,12,Craig,2,2,438109,1,2,269037,0,0,0,0,0,0,2,2,438109,1,2,269037,0,0,0,0,0,0
2010,02,177000,090,1080,24230 ,24450 ,30224 ,999,21820, ,1,99701      ,4,9,0,Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,02,181000,090,    ,  ,  ,51046 ,999,21820,2, ,997071267  ,4,9,0,Fairbanks North Star Borough Unincorporated Area,35,35,6437472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
