Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202201,02,009000,013,0070,01090 ,00000 ,1027 ,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,041000,020,0140,03000 ,00000 ,291826 ,999,11260, ,1,995196650  ,4,9,0,Municipality of Anchorage,63,63,20157979,0,0,0,1,4,688376,1,19,2854282,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,049000,105,0160,03440 ,00000 ,459 ,999,99999,2, ,998200189  ,4,9,0,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,085000,050,0310,06520 ,00000 ,6080 ,999,99999, , ,99559      ,4,9,1,Bethel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,097000,060,    ,99990 ,00000 ,997 ,999,99999, , ,996330189  ,4,9,0,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,133000,261,0820,17410 ,00000 ,2239 ,999,99999, , ,99574      ,4,9,0,Cordova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,137000,198,0830,17740 ,00000 ,1201 ,999,99999, , ,99921      ,4,9,0,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,149000,070,0880,18950 ,00000 ,2329 ,999,99999, , ,99576      ,4,9,0,Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,173000,158,0900,22910 ,00000 ,762 ,999,99999,2, ,99581      ,4,9,0,Emmonak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,177000,090,1080,24230 ,00000 ,31535 ,999,21820, ,1,997014615  ,4,9,0,Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,209000,100,    ,99990 ,00000 ,2508 ,999,99999, , ,99827      ,4,9,1,Haines Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,221000,122,1370,33140 ,00000 ,5003 ,999,99999, , ,99603      ,4,9,1,Homer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,02,225000,105,1380,33360 ,00000 ,760 ,999,99999, , ,99829      ,4,9,1,Hoonah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
