Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202510,02,009000,013,0070,01090 ,00000 ,1052 ,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,041000,020,0140,03000 ,00000 ,287095 ,999,11260, ,1,995196650  ,4,9,9,Municipality of Anchorage,139,139,79217651,13,26,7502529,4,13,3436950,6,48,9689460,127,127,74222839,11,22,6664504,3,10,2989083,5,36,7476952
202510,02,085000,050,0310,06520 ,00000 ,6658 ,999,99999, , ,99559      ,4,9,10,Bethel,8,8,2491864,0,0,0,0,0,0,0,0,0,8,8,2491864,0,0,0,0,0,0,0,0,0
202510,02,097000,060,    ,99990 ,00000 ,788 ,999,99999, , ,996330189  ,4,9,0,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,133000,063,0820,17410 ,00000 ,2152 ,999,99999, , ,99574      ,4,9,0,Cordova,10,10,2041833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,137000,198,0830,17740 ,00000 ,1267 ,999,99999, , ,99921      ,4,9,0,Craig,1,1,359539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,149000,070,0880,18950 ,00000 ,2324 ,999,99999, , ,99576      ,4,9,0,Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,177000,090,1080,24230 ,00000 ,30696 ,999,21820, ,1,997014615  ,4,9,0,Fairbanks,1,1,500000,2,4,900000,0,0,0,1,5,1093750,0,0,0,0,0,0,0,0,0,0,0,0
202510,02,209000,100,    ,99990 ,00000 ,2614 ,999,99999, , ,99827      ,4,9,10,Haines Borough,8,8,2372151,0,0,0,0,0,0,0,0,0,8,8,2372151,0,0,0,0,0,0,0,0,0
202510,02,221000,122,1370,33140 ,00000 ,6034 ,999,99999, , ,99603      ,4,9,10,Homer,66,66,24178000,2,4,200000,1,3,500000,0,0,0,66,66,24178000,2,4,200000,1,3,500000,0,0,0
202510,02,225000,105,1380,33360 ,00000 ,797 ,999,99999, , ,99829      ,4,9,10,Hoonah,17,17,5040818,0,0,0,0,0,0,0,0,0,17,17,5040818,0,0,0,0,0,0,0,0,0
202510,02,233000,170,1410,33800 ,00000 ,2462 ,999,11260, , ,996940027  ,4,9,10,Houston,2,2,593038,0,0,0,0,0,0,0,0,0,2,2,593038,0,0,0,0,0,0,0,0,0
