Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202308,02,009000,013,0070,01090 ,00000 ,1052 ,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,041000,020,0140,03000 ,00000 ,287095 ,999,11260, ,1,995196650  ,4,9,6,Municipality of Anchorage,155,155,69665793,0,0,0,0,0,0,0,0,0,134,134,58372197,0,0,0,0,0,0,0,0,0
202308,02,085000,050,0310,06520 ,00000 ,6658 ,999,99999, , ,99559      ,4,9,8,Bethel,5,5,1909959,0,0,0,0,0,0,2,40,5871186,5,5,1909959,0,0,0,0,0,0,2,40,5871186
202308,02,097000,060,    ,99990 ,00000 ,788 ,999,99999, , ,996330189  ,4,9,0,Bristol Bay Borough,3,3,1011258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,133000,063,0820,17410 ,00000 ,2152 ,999,99999, , ,99574      ,4,9,0,Cordova,3,3,802500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,137000,198,0830,17740 ,00000 ,1267 ,999,99999, , ,99921      ,4,9,0,Craig,3,3,1011258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,149000,070,0880,18950 ,00000 ,2324 ,999,99999, , ,99576      ,4,9,0,Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,177000,090,1080,24230 ,00000 ,30696 ,999,21820, ,1,997014615  ,4,9,0,Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,209000,100,    ,99990 ,00000 ,2614 ,999,99999, , ,99827      ,4,9,8,Haines Borough,7,7,1716000,0,0,0,0,0,0,0,0,0,7,7,1716000,0,0,0,0,0,0,0,0,0
202308,02,221000,122,1370,33140 ,00000 ,6034 ,999,99999, , ,99603      ,4,9,7,Homer,39,39,15678968,6,12,2575000,1,4,800000,0,0,0,34,34,13760000,5,10,2250000,1,4,800000,0,0,0
202308,02,225000,105,1380,33360 ,00000 ,797 ,999,99999, , ,99829      ,4,9,8,Hoonah,2,2,763984,0,0,0,0,0,0,0,0,0,2,2,763984,0,0,0,0,0,0,0,0,0
202308,02,233000,170,1410,33800 ,00000 ,2462 ,999,11260, , ,996940027  ,4,9,0,Houston,1,1,263230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,02,253000,110,    ,99990 ,00000 ,31849 ,999,99999, , ,99801      ,4,9,8,Juneau city and borough,28,28,5657052,3,6,1436008,0,0,0,2,57,10878204,28,28,5657052,3,6,1436008,0,0,0,2,57,10878204
