Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202212,02,009000,013,0070,01090 ,00000 ,1052 ,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,041000,020,0140,03000 ,00000 ,287095 ,999,11260, ,1,995196650  ,4,9,0,Municipality of Anchorage,673,673,214374141,0,0,0,12,43,7413341,21,247,37366805,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,049000,105,0160,03440 ,00000 ,458 ,999,99999,2, ,998200189  ,4,9,0,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,085000,050,0310,06520 ,00000 ,6658 ,999,99999, , ,99559      ,4,9,12,Bethel,7,7,2359602,2,4,740596,1,3,436447,0,0,0,7,7,2359602,2,4,740596,1,3,436447,0,0,0
202212,02,097000,060,    ,99990 ,00000 ,788 ,999,99999, , ,996330189  ,4,9,0,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,133000,261,0820,17410 ,00000 ,2152 ,999,99999, , ,99574      ,4,9,0,Cordova,7,7,1977500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,137000,198,0830,17740 ,00000 ,1267 ,999,99999, , ,99921      ,4,9,0,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,149000,070,0880,18950 ,00000 ,2324 ,999,99999, , ,99576      ,4,9,0,Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,173000,158,0900,22910 ,00000 ,813 ,999,99999,2, ,99581      ,4,9,0,Emmonak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,177000,090,1080,24230 ,00000 ,30696 ,999,21820, ,1,997014615  ,4,9,0,Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,02,209000,100,    ,99990 ,00000 ,2614 ,999,99999, , ,99827      ,4,9,12,Haines Borough,9,9,2008344,0,0,0,0,0,0,0,0,0,9,9,2008344,0,0,0,0,0,0,0,0,0
202212,02,221000,122,1370,33140 ,00000 ,6034 ,999,99999, , ,99603      ,4,9,12,Homer,63,63,24179000,4,8,1300000,1,3,200000,0,0,0,63,63,24179000,4,8,1300000,1,3,200000,0,0,0
202212,02,225000,105,1380,33360 ,00000 ,797 ,999,99999, , ,99829      ,4,9,12,Hoonah,0,0,0,2,4,740596,0,0,0,0,0,0,0,0,0,2,4,740596,0,0,0,0,0,0
